Region: NA-East
Sent: 2023-11-02 17:41:03.566244, Received: 2023-11-02 17:41:03.686659
Sent: 2023-11-02 17:41:03.687761, Received: 2023-11-02 17:41:03.792959
Sent: 2023-11-02 17:41:03.792959, Received: 2023-11-02 17:41:03.905696
Sent: 2023-11-02 17:41:03.905696, Received: 2023-11-02 17:41:04.011295
Sent: 2023-11-02 17:41:04.012805, Received: 2023-11-02 17:41:04.123189
Sent: 2023-11-02 17:41:04.123189, Received: 2023-11-02 17:41:04.228677
Sent: 2023-11-02 17:41:04.228677, Received: 2023-11-02 17:41:04.334086
Sent: 2023-11-02 17:41:04.335090, Received: 2023-11-02 17:41:04.440261
Sent: 2023-11-02 17:41:04.440261, Received: 2023-11-02 17:41:04.548780
Sent: 2023-11-02 17:41:04.548780, Received: 2023-11-02 17:41:04.655119

Region: NA-Central
Sent: 2023-11-02 17:41:04.656118, Received: 2023-11-02 17:41:04.813969
Sent: 2023-11-02 17:41:04.813969, Received: 2023-11-02 17:41:04.961319
Sent: 2023-11-02 17:41:04.961319, Received: 2023-11-02 17:41:05.105684
Sent: 2023-11-02 17:41:05.105684, Received: 2023-11-02 17:41:05.251649
Sent: 2023-11-02 17:41:05.251649, Received: 2023-11-02 17:41:05.395944
Sent: 2023-11-02 17:41:05.396948, Received: 2023-11-02 17:41:05.541458
Sent: 2023-11-02 17:41:05.542963, Received: 2023-11-02 17:41:05.687705
Sent: 2023-11-02 17:41:05.687705, Received: 2023-11-02 17:41:05.834665
Sent: 2023-11-02 17:41:05.835665, Received: 2023-11-02 17:41:05.981157
Sent: 2023-11-02 17:41:05.981157, Received: 2023-11-02 17:41:06.126397

Region: NA-West
Sent: 2023-11-02 17:41:06.127397, Received: 2023-11-02 17:41:06.329282
Sent: 2023-11-02 17:41:06.329282, Received: 2023-11-02 17:41:06.519991
Sent: 2023-11-02 17:41:06.519991, Received: 2023-11-02 17:41:06.710234
Sent: 2023-11-02 17:41:06.711239, Received: 2023-11-02 17:41:06.901257
Sent: 2023-11-02 17:41:06.901257, Received: 2023-11-02 17:41:07.091043
Sent: 2023-11-02 17:41:07.092048, Received: 2023-11-02 17:41:07.283681
Sent: 2023-11-02 17:41:07.284682, Received: 2023-11-02 17:41:07.473959
Sent: 2023-11-02 17:41:07.474963, Received: 2023-11-02 17:41:07.664757
Sent: 2023-11-02 17:41:07.665763, Received: 2023-11-02 17:41:07.856466
Sent: 2023-11-02 17:41:07.856466, Received: 2023-11-02 17:41:08.046967

Region: Europe
Sent: 2023-11-02 17:41:16.463885, Received: 2023-11-02 17:41:16.498780
Sent: 2023-11-02 17:41:16.498780, Received: 2023-11-02 17:41:16.533991
Sent: 2023-11-02 17:41:16.533991, Received: 2023-11-02 17:41:16.568813
Sent: 2023-11-02 17:41:16.568813, Received: 2023-11-02 17:41:16.604372
Sent: 2023-11-02 17:41:16.604372, Received: 2023-11-02 17:41:16.643082
Sent: 2023-11-02 17:41:16.643082, Received: 2023-11-02 17:41:16.678187
Sent: 2023-11-02 17:41:16.679187, Received: 2023-11-02 17:41:16.716834
Sent: 2023-11-02 17:41:16.717834, Received: 2023-11-02 17:41:16.752596
Sent: 2023-11-02 17:41:16.752596, Received: 2023-11-02 17:41:16.788306
Sent: 2023-11-02 17:41:16.788306, Received: 2023-11-02 17:41:16.822500
Sent: 2023-11-02 17:41:16.823507, Received: 2023-11-02 17:41:16.859596
Sent: 2023-11-02 17:41:16.859596, Received: 2023-11-02 17:41:16.893798
Sent: 2023-11-02 17:41:16.894793, Received: 2023-11-02 17:41:16.930379
Sent: 2023-11-02 17:41:16.930379, Received: 2023-11-02 17:41:16.966595
Sent: 2023-11-02 17:41:16.967595, Received: 2023-11-02 17:41:17.007487
Sent: 2023-11-02 17:41:17.007487, Received: 2023-11-02 17:41:17.043637
Sent: 2023-11-02 17:41:17.043637, Received: 2023-11-02 17:41:17.078886
Sent: 2023-11-02 17:41:17.078886, Received: 2023-11-02 17:41:17.113794
Sent: 2023-11-02 17:41:17.113794, Received: 2023-11-02 17:41:17.148908
Sent: 2023-11-02 17:41:17.148908, Received: 2023-11-02 17:41:17.184692
Sent: 2023-11-02 17:41:17.184692, Received: 2023-11-02 17:41:17.218880
Sent: 2023-11-02 17:41:17.219880, Received: 2023-11-02 17:41:17.254535
Sent: 2023-11-02 17:41:17.254535, Received: 2023-11-02 17:41:17.317339
Sent: 2023-11-02 17:41:17.317339, Received: 2023-11-02 17:41:17.362566
Sent: 2023-11-02 17:41:17.363846, Received: 2023-11-02 17:41:17.398478
Sent: 2023-11-02 17:41:17.398478, Received: 2023-11-02 17:41:17.433928
Sent: 2023-11-02 17:41:17.433928, Received: 2023-11-02 17:41:17.469646
Sent: 2023-11-02 17:41:17.469646, Received: 2023-11-02 17:41:17.504884
Sent: 2023-11-02 17:41:17.504884, Received: 2023-11-02 17:41:17.539983
Sent: 2023-11-02 17:41:17.539983, Received: 2023-11-02 17:41:17.575581
Sent: 2023-11-02 17:41:17.575581, Received: 2023-11-02 17:41:17.611261
Sent: 2023-11-02 17:41:17.611261, Received: 2023-11-02 17:41:17.646774
Sent: 2023-11-02 17:41:17.646774, Received: 2023-11-02 17:41:17.687941
Sent: 2023-11-02 17:41:17.688947, Received: 2023-11-02 17:41:17.726661
Sent: 2023-11-02 17:41:17.726661, Received: 2023-11-02 17:41:17.762557
Sent: 2023-11-02 17:41:17.763585, Received: 2023-11-02 17:41:17.798285
Sent: 2023-11-02 17:41:17.798285, Received: 2023-11-02 17:41:17.833878
Sent: 2023-11-02 17:41:17.833878, Received: 2023-11-02 17:41:17.870655
Sent: 2023-11-02 17:41:17.870655, Received: 2023-11-02 17:41:17.905749
Sent: 2023-11-02 17:41:17.905749, Received: 2023-11-02 17:41:17.941156
Sent: 2023-11-02 17:41:17.941156, Received: 2023-11-02 17:41:17.980007
Sent: 2023-11-02 17:41:17.980007, Received: 2023-11-02 17:41:18.016235
Sent: 2023-11-02 17:41:18.016235, Received: 2023-11-02 17:41:18.051768
